STATION,LATITUDE,LONGITUDE,STATION_BOTTOM_DEPTH,STRATA,ACTIVE,AREA,NOTES
493,3500,12053,192,SC,Y,Point Sal,Added in 2006
494,3500,12058.5,374,SC,Y,Point Sal,Added in 2006
495,3500,12107,532,SC,Y,Point Sal,Added in 2006
601,4030,12431.6,61,N,Y,False Cape,Added in 2013
602,4030,12437.2,187,N,Y,False Cape,Added in 2013
603,4030,12443.8,1622,N,Y,False Cape,Added in 2013
605,4030,12457,2565,N,Y,False Cape,Added in 2013
607,4030,12510.2,2634,N,Y,False Cape,Added in 2013
611,4100,12416.2,79,N,Y,Trinidad Head,Added in 2013
612,4100,12422.8,192,N,Y,Trinidad Head,Added in 2013
613,4100,12429.4,520,N,Y,Trinidad Head,Added in 2013
615,4100,12442.6,743,N,Y,Trinidad Head,Added in 2013
617,4100,12455.8,2804,N,Y,Trinidad Head,Added in 2013
621,4130,12415.6,66,N,Y,Flint Rock Head,Added in 2013
622,4130,12422.2,96,N,Y,Flint Rock Head,Added in 2013
623,4130,12428.8,169,N,Y,Flint Rock Head,Added in 2013
625,4130,12442,946,N,Y,Flint Rock Head,Added in 2013
627,4130,12455.2,690,N,Y,Flint Rock Head,Added in 2013
1001,3653,12156,37,C,Y,Monterey Bay Inside,NULL
1002,3640,12210,1134,C,Y,Monterey Bay Outside,NULL
1003,3646.3,12216.1,823,C,Y,Monterey Bay Outside,NULL
1004,3646.3,12228.4,2103,C,Y,Monterey Bay Outside,NULL
1005,3640,12222.3,1737,C,Y,Monterey Bay Outside,NULL
1006,3633.7,12216.2,2560,C,Y,Monterey Bay Outside,NULL
1007,3633.7,12228.4,2743,C,Y,Monterey Bay Outside,NULL
1008,3640,12234.6,2377,C,Y,Monterey Bay Outside,NULL
1009,3646.3,12240.7,2149,C,Y,Monterey Bay Outside,NULL
1010,3633.7,12240.7,2743,C,Y,Monterey Bay Outside,NULL
1011,3652.6,12210,91,C,Y,Davenport,NULL
1012,3652.6,12222.3,1180,C,Y,Davenport,NULL
1013,3652.6,12234.6,1600,C,Y,Davenport,NULL
1014,3652.6,12247,2286,C,Y,Davenport,NULL
1015,3652.6,12259.3,2697,C,Y,Davenport,NULL
1016,3659,12253,1411,C,Y,Davenport,NULL
1017,3705,12247,686,C,Y,Davenport,NULL
1018,3705,12234.6,119,C,Y,Davenport,NULL
1019,3705,12222.3,59,C,Y,Davenport,NULL
1020,3710.7,12228.4,68,C,Y,Pescadero,NULL
1021,3710.7,12240.7,110,C,Y,Pescadero,NULL
1022,3710.7,12253,421,C,Y,Pescadero,NULL
1023,3710.7,12305.3,869,C,Y,Pescadero,NULL
1024,3716.5,12311.4,1189,C,N,Pescadero,NULL
1025,3722.3,12305.3,823,C,Y,Pescadero,NULL
1026,3722.3,12253,201,C,Y,Pescadero,NULL
1027,3722.3,12240.7,88,C,Y,Pescadero,NULL
1028,3722.3,12228.4,27,C,Y,Pescadero,NULL
1029,3730.8,12259.3,229,C,Y,Farallones Outside,NULL
1030,3730.8,12311.6,1280,C,Y,Farallones Outside,NULL
1031,3730.8,12324,2415,C,Y,Farallones Outside,NULL
1032,3730.8,12336.3,3215,C,Y,Farallones Outside,NULL
1033,3738.4,12336.3,3338,C,Y,Farallones Outside,NULL
1034,3746.2,12336.3,2697,C,Y,Farallones Outside,NULL
1035,3746.2,12324,1509,C,Y,Farallones Outside,NULL
1036,3746.2,12311.6,128,C,Y,Farallones Outside,NULL
1037,3801.6,12330.1,137,C,Y,Point Reyes,NULL
1038,3801.6,12342.4,2560,C,Y,Point Reyes,NULL
